"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"709";"PV20  ";"2005JJ00";"108";"7.5";"7.5";"6837";"2.5";"2.5";"168081";"1149"
"714";"PV20  ";"2006JJ00";"114.4";"5.9";"5.9";"7052";"3.1";"3.1";"177983";"1255"
"719";"PV20  ";"2007JJ00";"118.1";"3.3";"3.3";"6850";"-2.9";"-2.9";"186935";"1281"
"724";"PV20  ";"2008JJ00";"120.5";"2";"2";"5993";"-12.5";"-12.5";"188062";"1127"
"729";"PV20  ";"2009JJ00";"115.7";"-4";"-4";"4403";"-26.5";"-26.5";"181358";"799"
"734";"PV20  ";"2010JJ00";"114.3";"-1.2";"-1.2";"4347";"-1.3";"-1.3";"177940";"774"
"739";"PV20  ";"2011JJ00";"110.7";"-3.1";"-3.1";"4093";"-5.8";"-5.8";"180603";"739"
"744";"PV20  ";"2012JJ00";"103.6";"-6.4";"-6.4";"3722";"-9.1";"-9.1";"172575";"642"
"749";"PV20  ";"2013JJ00";"98.1";"-5.4";"-5.4";"3590";"-3.5";"-3.5";"163505";"587"
"754";"PV20  ";"2014JJ00";"97.3";"-0.8";"-0.8";"4748";"32.3";"32.3";"165832";"787"
"759";"PV20  ";"2015JJ00";"100";"2.7";"2.7";"5420";"14.2";"14.2";"171679";"931"
"764";"PV20  ";"2016JJ00";"104.7";"4.7";"4.7";"6435";"18.7";"18.7";"180595";"1162"
"769";"PV20  ";"2017JJ00";"110.6";"5.7";"5.7";"7297";"13.4";"13.4";"195057";"1423"
"774";"PV20  ";"2018JJ00";"118.4";"7.1";"7.1";"7133";"-2.2";"-2.2";"205000";"1462"
"779";"PV20  ";"2019JJ00";"126.6";"6.9";"6.9";"7400";"3.7";"3.7";"219283";"1623"
"784";"PV20  ";"2020JJ00";"139.7";"10.4";"10.4";"7767";"5";"5";"241080";"1872"
"840";"PV21  ";"2005JJ00";"112";"4.9";"4.9";"7978";"3.5";"3.5";"178770";"1426"
"845";"PV21  ";"2006JJ00";"118.3";"5.6";"5.6";"8154";"2.2";"2.2";"190517";"1553"
"850";"PV21  ";"2007JJ00";"122.5";"3.6";"3.6";"7752";"-4.9";"-4.9";"197251";"1529"
"855";"PV21  ";"2008JJ00";"125.5";"2.5";"2.5";"6667";"-14";"-14";"203889";"1359"
"860";"PV21  ";"2009JJ00";"120.1";"-4.3";"-4.3";"4634";"-30.5";"-30.5";"193069";"895"
"865";"PV21  ";"2010JJ00";"119.4";"-0.6";"-0.6";"4720";"1.9";"1.9";"195349";"922"
"870";"PV21  ";"2011JJ00";"114.3";"-4.3";"-4.3";"4365";"-7.5";"-7.5";"191714";"837"
"875";"PV21  ";"2012JJ00";"107";"-6.4";"-6.4";"4031";"-7.7";"-7.7";"180784";"729"
"880";"PV21  ";"2013JJ00";"99.2";"-7.2";"-7.2";"3878";"-3.8";"-3.8";"169899";"659"
"885";"PV21  ";"2014JJ00";"98";"-1.2";"-1.2";"5443";"40.4";"40.4";"174240";"948"
"890";"PV21  ";"2015JJ00";"100";"2";"2";"6277";"15.3";"15.3";"180461";"1133"
"895";"PV21  ";"2016JJ00";"103.9";"3.9";"3.9";"7590";"20.9";"20.9";"187950";"1427"
"900";"PV21  ";"2017JJ00";"110.1";"6";"6";"8977";"18.3";"18.3";"201430";"1808"
"905";"PV21  ";"2018JJ00";"118.5";"7.6";"7.6";"8311";"-7.4";"-7.4";"216116";"1796"
"910";"PV21  ";"2019JJ00";"127";"7.2";"7.2";"8468";"1.9";"1.9";"230643";"1953"
"915";"PV21  ";"2020JJ00";"136.7";"7.7";"7.7";"8870";"4.7";"4.7";"254223";"2255"
"971";"PV22  ";"2005JJ00";"109.4";"4.6";"4.6";"6150";"9.1";"9.1";"192449";"1184"
"976";"PV22  ";"2006JJ00";"114.6";"4.8";"4.8";"6196";"0.7";"0.7";"205685";"1274"
"981";"PV22  ";"2007JJ00";"119.7";"4.5";"4.5";"5676";"-8.4";"-8.4";"215473";"1223"
"986";"PV22  ";"2008JJ00";"122";"1.9";"1.9";"5410";"-4.7";"-4.7";"214763";"1162"
"991";"PV22  ";"2009JJ00";"118.6";"-2.8";"-2.8";"3743";"-30.8";"-30.8";"199306";"746"
"996";"PV22  ";"2010JJ00";"116.1";"-2.1";"-2.1";"3663";"-2.1";"-2.1";"205264";"752"
"1001";"PV22  ";"2011JJ00";"113";"-2.7";"-2.7";"3446";"-5.9";"-5.9";"203389";"701"
"1006";"PV22  ";"2012JJ00";"106.5";"-5.7";"-5.7";"3385";"-1.8";"-1.8";"193844";"656"
"1011";"PV22  ";"2013JJ00";"98.7";"-7.3";"-7.3";"3264";"-3.6";"-3.6";"181850";"594"
"1016";"PV22  ";"2014JJ00";"98.5";"-0.2";"-0.2";"4208";"28.9";"28.9";"185239";"779"
"1021";"PV22  ";"2015JJ00";"100";"1.6";"1.6";"5011";"19.1";"19.1";"194566";"975"
"1026";"PV22  ";"2016JJ00";"102.1";"2.1";"2.1";"6122";"22.2";"22.2";"205504";"1258"
"1031";"PV22  ";"2017JJ00";"107.6";"5.4";"5.4";"7521";"22.9";"22.9";"213562";"1606"
"1036";"PV22  ";"2018JJ00";"114.8";"6.7";"6.7";"7076";"-5.9";"-5.9";"228433";"1616"
"1041";"PV22  ";"2019JJ00";"124.2";"8.2";"8.2";"6974";"-1.4";"-1.4";"241941";"1687"
"1046";"PV22  ";"2020JJ00";"134.8";"8.5";"8.5";"7498";"7.5";"7.5";"266616";"1999"
"1102";"PV23  ";"2005JJ00";"110.3";"3.6";"3.6";"12843";"7";"7";"198475";"2549"
"1107";"PV23  ";"2006JJ00";"115.1";"4.4";"4.4";"12729";"-0.9";"-0.9";"206909";"2634"
"1112";"PV23  ";"2007JJ00";"117.6";"2.1";"2.1";"12224";"-4";"-4";"215724";"2637"
"1117";"PV23  ";"2008JJ00";"120";"2";"2";"11266";"-7.8";"-7.8";"219612";"2474"
"1122";"PV23  ";"2009JJ00";"116.5";"-2.9";"-2.9";"7853";"-30.3";"-30.3";"212375";"1668"
"1127";"PV23  ";"2010JJ00";"114.2";"-1.9";"-1.9";"7820";"-0.4";"-0.4";"211088";"1651"
"1132";"PV23  ";"2011JJ00";"110.9";"-2.9";"-2.9";"7542";"-3.6";"-3.6";"208185";"1570"
"1137";"PV23  ";"2012JJ00";"105.3";"-5.1";"-5.1";"7843";"4";"4";"202549";"1589"
"1142";"PV23  ";"2013JJ00";"98.5";"-6.4";"-6.4";"6840";"-12.8";"-12.8";"189733";"1298"
