"Bestaande koopwoningen; verkoopprijzen; regio; prijsindex 2015=100 "
""
""
"Onderwerp";"Prijsindex bestaande koopwoningen|Prijsindex verkoopprijzen";"Prijsindex bestaande koopwoningen|Prijsindex verkoopprijzen";"Prijsindex bestaande koopwoningen|Prijsindex verkoopprijzen";"Prijsindex bestaande koopwoningen|Prijsindex verkoopprijzen";"Prijsindex bestaande koopwoningen|Prijsindex verkoopprijzen";"Prijsindex bestaande koopwoningen|Prijsindex verkoopprijzen";"Prijsindex bestaande koopwoningen|Ontwikkeling  t.o.v. een jaar eerder";"Prijsindex bestaande koopwoningen|Ontwikkeling  t.o.v. een jaar eerder";"Prijsindex bestaande koopwoningen|Ontwikkeling  t.o.v. een jaar eerder";"Prijsindex bestaande koopwoningen|Ontwikkeling  t.o.v. een jaar eerder";"Prijsindex bestaande koopwoningen|Ontwikkeling  t.o.v. een jaar eerder";"Prijsindex bestaande koopwoningen|Ontwikkeling  t.o.v. een jaar eerder"
"Regio's";"Nederland";"Groningen (PV)";"Zuid-Holland (PV)";"Noord-Brabant (PV)";"Amsterdam";"Rotterdam";"Nederland";"Groningen (PV)";"Zuid-Holland (PV)";"Noord-Brabant (PV)";"Amsterdam";"Rotterdam"
"Perioden";"2015=100";"2015=100";"2015=100";"2015=100";"2015=100";"2015=100";"%";"%";"%";"%";"%";"%"
"1995";"42,5";"43,5";"43,2";"42,3";"29,2";"39,3";"";"";"";"";"";""
"2000";"80,3";"71,2";"77,4";"81,7";"66,8";"70,9";"18,2";"16,1";"17,4";"18,8";"20,4";"17,3"
"2005";"106,6";"108,0";"106,0";"110,7";"79,7";"98,7";"3,9";"7,5";"4,1";"3,9";"4,8";"4,1"
"2010";"113,0";"114,3";"111,1";"116,8";"97,3";"105,8";"-2,2";"-1,2";"-2,2";"-2,4";"-0,4";"-0,7"
"2015";"100,0";"100,0";"100,0";"100,0";"100,0";"100,0";"2,8";"2,7";"3,0";"2,3";"9,7";"4,4"
"2016 1e kwartaal";"102,6";"101,6";"102,5";"102,3";"107,3";"102,9";"4,1";"2,7";"4,2";"3,6";"10,7";"5,0"
"2016 2e kwartaal";"103,7";"102,5";"104,0";"102,8";"112,2";"105,0";"4,4";"2,4";"4,7";"3,3";"14,7";"5,7"
"2016 3e kwartaal";"106,3";"107,0";"106,4";"104,7";"116,1";"108,8";"5,6";"6,7";"5,6";"4,0";"14,2";"7,5"
"2016 4e kwartaal";"107,5";"107,4";"107,8";"105,7";"118,6";"111,8";"6,1";"6,8";"6,1";"4,6";"14,4";"10,3"
"2016";"105,0";"104,7";"105,2";"103,9";"113,5";"107,1";"5,0";"4,7";"5,2";"3,9";"13,5";"7,1"
