ID;"StatusVanBewoning";"RegioS";"Perioden";"TotaleWoningvoorraad_1";"Koopwoningen_2";"TotaalHuurwoningen_3";"EigendomWoningcorporatie_4";"EigendomOverigeVerhuurders_5";"EigendomOnbekend_6"
45;"T001235";"Groningen (PV)";"2012";"265332";"148239";"113659";"80729";"32930";"3434"
46;"T001235";"Groningen (PV)";"2013";"267466";"148656";"116356";"81662";"34694";"2454"
47;"T001235";"Groningen (PV)";"2014";"271087";"148758";"119653";"82403";"37250";"2676"
48;"T001235";"Groningen (PV)";"2015";"272774";"148949";"121738";"85546";"36192";"2087"
49;"T001235";"Groningen (PV)";"2016";"274719";"149548";"122718";"84886";"37832";"2453"
50;"T001235";"Groningen (PV)";"2017";"276728";"150040";"124247";"84418";"39829";"2441"
51;"T001235";"Groningen (PV)";"2018";"277113";"151975";"122368";"82673";"39695";"2770"
52;"T001235";"Groningen (PV)";"2019";"279662";"154284";"124154";"83606";"40548";"1224"
53;"T001235";"Groningen (PV)";"2020";"282047";"154584";"125772";"83181";"42591";"1691"
54;"T001235";"Friesland (PV)";"2012";"287340";"177956";"107223";"81989";"25234";"2161"
55;"T001235";"Friesland (PV)";"2013";"289380";"179362";"108550";"82117";"26433";"1468"
56;"T001235";"Friesland (PV)";"2014";"292180";"179270";"110097";"81917";"28180";"2813"
57;"T001235";"Friesland (PV)";"2015";"294169";"179774";"110938";"82448";"28490";"3457"
58;"T001235";"Friesland (PV)";"2016";"295540";"180232";"111384";"81158";"30226";"3924"
59;"T001235";"Friesland (PV)";"2017";"296463";"180920";"111652";"80717";"30935";"3891"
60;"T001235";"Friesland (PV)";"2018";"298425";"183424";"110940";"80727";"30213";"4061"
61;"T001235";"Friesland (PV)";"2019";"300238";"187147";"112051";"82033";"30018";"1040"
62;"T001235";"Friesland (PV)";"2020";"302578";"187891";"113618";"81764";"31854";"1069"
63;"T001235";"Drenthe (PV)";"2012";"219432";"141292";"74184";"55065";"19119";"3956"
64;"T001235";"Drenthe (PV)";"2013";"214890";"140359";"72753";"53972";"18781";"1778"
65;"T001235";"Drenthe (PV)";"2014";"218025";"141011";"74462";"53915";"20547";"2552"
66;"T001235";"Drenthe (PV)";"2015";"218383";"141242";"74689";"53918";"20771";"2452"
67;"T001235";"Drenthe (PV)";"2016";"218625";"142054";"73893";"53840";"20053";"2678"
68;"T001235";"Drenthe (PV)";"2017";"219240";"142197";"74289";"53850";"20439";"2754"
69;"T001235";"Drenthe (PV)";"2018";"220818";"143746";"74308";"54001";"20307";"2764"
70;"T001235";"Drenthe (PV)";"2019";"222197";"146740";"74835";"55658";"19177";"622"
71;"T001235";"Drenthe (PV)";"2020";"223251";"147267";"75227";"55294";"19933";"757"
72;"T001235";"Overijssel (PV)";"2012";"482572";"289489";"188045";"139728";"48317";"5038"
73;"T001235";"Overijssel (PV)";"2013";"485391";"291336";"190267";"139803";"50464";"3788"
74;"T001235";"Overijssel (PV)";"2014";"487577";"291816";"190849";"138616";"52233";"4912"
75;"T001235";"Overijssel (PV)";"2015";"490227";"293657";"191563";"141475";"50088";"5007"
76;"T001235";"Overijssel (PV)";"2016";"493757";"295204";"193294";"139384";"53910";"5259"
77;"T001235";"Overijssel (PV)";"2017";"497361";"295865";"196326";"140491";"55835";"5170"
78;"T001235";"Overijssel (PV)";"2018";"499951";"302439";"192810";"139420";"53390";"4702"
79;"T001235";"Overijssel (PV)";"2019";"505343";"308443";"195612";"140656";"54956";"1288"
80;"T001235";"Overijssel (PV)";"2020";"510296";"310844";"197881";"140815";"57066";"1571"
81;"T001235";"Flevoland (PV)";"2012";"158061";"101537";"55003";"43040";"11963";"1521"
82;"T001235";"Flevoland (PV)";"2013";"159496";"102522";"56134";"42861";"13273";"840"
83;"T001235";"Flevoland (PV)";"2014";"161512";"103306";"57343";"43016";"14327";"863"
84;"T001235";"Flevoland (PV)";"2015";"162731";"104143";"57660";"43158";"14502";"928"
85;"T001235";"Flevoland (PV)";"2016";"162918";"104778";"57357";"43306";"14051";"783"
86;"T001235";"Flevoland (PV)";"2017";"164229";"105313";"58212";"43218";"14994";"704"
87;"T001235";"Flevoland (PV)";"2018";"166487";"106430";"59225";"43262";"15963";"832"
88;"T001235";"Flevoland (PV)";"2019";"169237";"110598";"58364";"44594";"13770";"275"
89;"T001235";"Flevoland (PV)";"2020";"172227";"112198";"59731";"45006";"14725";"298"
90;"T001235";"Gelderland (PV)";"2012";"845193";"507201";"325027";"237027";"88000";"12965"
91;"T001235";"Gelderland (PV)";"2013";"859847";"512172";"335863";"240283";"95580";"11812"
92;"T001235";"Gelderland (PV)";"2014";"869410";"514963";"341602";"239009";"102593";"12845"
93;"T001235";"Gelderland (PV)";"2015";"877662";"519076";"347177";"245867";"101310";"11409"
94;"T001235";"Gelderland (PV)";"2016";"885679";"524949";"348599";"245736";"102863";"12131"
95;"T001235";"Gelderland (PV)";"2017";"888062";"527228";"349182";"242281";"106901";"11652"
96;"T001235";"Gelderland (PV)";"2018";"893989";"537999";"346053";"244078";"101975";"9937"
97;"T001235";"Gelderland (PV)";"2019";"903256";"550266";"349417";"248714";"100703";"3573"
98;"T001235";"Gelderland (PV)";"2020";"912372";"555930";"352768";"248573";"104195";"3674"
99;"T001235";"Utrecht (PV)";"2012";"528124";"303721";"215302";"153353";"61949";"9101"
100;"T001235";"Utrecht (PV)";"2013";"534592";"307541";"221205";"154208";"66997";"5846"
101;"T001235";"Utrecht (PV)";"2014";"539078";"308395";"224440";"153103";"71337";"6243"
102;"T001235";"Utrecht (PV)";"2015";"543473";"310707";"225860";"155523";"70337";"6906"
103;"T001235";"Utrecht (PV)";"2016";"548114";"313875";"227499";"153959";"73540";"6740"
104;"T001235";"Utrecht (PV)";"2017";"554305";"316916";"230281";"153801";"76480";"7108"
105;"T001235";"Utrecht (PV)";"2018";"557564";"319764";"231170";"153840";"77330";"6630"
106;"T001235";"Utrecht (PV)";"2019";"578906";"339464";"237872";"160241";"77631";"1570"
107;"T001235";"Utrecht (PV)";"2020";"585924";"342060";"241833";"160618";"81215";"2031"
108;"T001235";"Noord-Holland (PV)";"2012";"1253521";"620197";"619294";"432874";"186420";"14030"
109;"T001235";"Noord-Holland (PV)";"2013";"1262787";"627582";"624358";"431082";"193276";"10847"
110;"T001235";"Noord-Holland (PV)";"2014";"1278533";"632826";"632575";"429679";"202896";"13132"
111;"T001235";"Noord-Holland (PV)";"2015";"1287671";"640136";"637529";"435314";"202215";"10006"
112;"T001235";"Noord-Holland (PV)";"2016";"1300094";"647361";"640877";"429352";"211525";"11856"
